time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
581183,91,757,146,144,480,360,437,8,11
582825,92,757,146,144,480,360,437,8,11
584387,92,757,146,144,480,360,437,8,11
585984,91,757,146,144,480,360,438,8,11
587584,91,757,146,144,480,360,438,8,11
589183,91,757,146,144,480,360,438,8,11
590797,91,757,146,144,480,360,438,8,11
592384,92,757,146,144,480,360,438,8,11
593986,91,757,146,143,480,360,438,8,11
595584,91,757,147,143,480,360,438,8,11
597184,91,757,146,144,480,360,438,8,11
598797,91,757,146,144,480,360,438,8,11
600384,91,757,147,144,480,360,438,8,11
601983,91,757,146,144,480,360,438,8,11
603585,91,757,147,144,480,360,438,8,11
605184,91,757,146,144,480,360,438,8,11
606797,91,757,146,144,480,360,438,8,11
608384,91,757,146,143,480,360,438,8,11
609983,91,757,146,143,480,360,438,7,11
611583,91,757,147,143,480,360,438,8,11
613186,91,757,146,143,480,360,438,8,11
614797,91,756,146,143,480,360,438,8,11
616384,91,756,146,144,480,361,438,8,12
617983,91,756,146,144,480,361,439,8,12
619583,91,756,147,144,480,360,438,8,12
621184,92,757,147,144,480,360,438,8,12
622797,92,756,146,144,480,360,438,7,12
624386,92,756,146,143,480,360,438,8,12
625983,92,756,146,143,480,360,438,7,11
627583,92,756,146,143,480,360,438,8,11
629184,92,757,146,143,480,360,438,8,11
630797,91,756,146,144,480,360,438,8,10
632384,91,756,146,144,480,360,438,8,10
633985,91,756,146,144,480,360,438,8,10
635584,91,756,147,144,480,360,438,8,11
637184,92,757,147,144,480,360,438,8,11
638797,92,756,146,144,480,360,438,7,11
640384,92,756,146,144,480,360,438,8,12
641983,92,756,146,143,480,360,438,7,11
643585,92,756,146,143,480,360,438,7,11
645184,92,757,146,143,480,360,438,7,11
646797,91,757,146,143,480,360,438,7,11
648383,91,757,146,143,480,360,438,8,11
649984,91,757,146,144,480,360,438,7,11
651584,91,757,146,144,480,360,438,7,12
653185,92,757,147,144,480,360,438,7,11
654797,91,757,146,144,480,360,438,7,11
656384,91,757,146,143,480,360,438,8,11
657984,91,757,146,143,480,360,438,7,11
659584,91,757,146,143,480,360,438,7,11
661183,92,757,146,143,480,360,438,7,11
662796,91,757,146,143,480,360,438,8,11
664385,91,757,146,144,480,360,438,8,11
665984,91,757,145,144,480,360,438,8,11
667583,91,757,146,144,480,360,438,8,11
669183,91,757,146,144,480,360,438,8,11
670797,91,757,146,144,480,360,438,8,10
672384,91,757,147,144,480,360,438,8,10
673986,91,757,147,144,480,361,439,8,10
675584,91,757,147,143,480,360,438,8,11
677183,91,757,146,143,480,360,438,8,11
678797,91,757,146,143,480,360,438,8,11
680384,91,757,146,144,480,360,438,8,11
681984,91,757,146,144,480,360,438,8,11
683585,91,757,146,144,480,360,438,8,12
685183,91,757,146,144,480,360,438,8,11
686797,91,757,146,144,480,360,438,8,11
688384,91,757,146,144,480,360,438,8,11
689984,91,757,147,144,480,361,439,8,11
691583,91,757,147,143,480,360,438,8,11
693186,91,757,147,143,480,360,438,8,11
694797,91,757,147,143,480,360,438,8,11
696384,91,757,146,143,480,360,438,8,11
697983,91,757,146,144,480,360,438,8,11
699583,91,757,146,144,480,360,438,8,11
701183,91,757,146,144,480,360,437,8,11
702796,91,757,146,144,480,360,437,8,11
704385,91,757,146,144,480,360,437,8,11
705984,91,757,146,144,480,360,438,8,11
707584,91,757,147,144,480,360,438,8,11
709183,91,757,147,143,480,360,438,8,11
710811,91,757,147,143,480,360,438,8,10
712384,91,757,147,143,480,360,438,8,11
713985,91,757,147,144,480,360,439,8,11
715584,91,757,147,144,480,360,438,8,11
717183,92,757,147,144,480,360,438,8,11
718811,91,757,146,144,480,360,438,8,11
720383,91,757,146,144,480,360,438,8,11
721983,91,757,146,144,480,360,438,8,11
723586,91,757,146,143,480,360,438,8,11
725183,91,757,146,143,480,360,438,8,11
726811,91,757,146,143,480,360,438,8,11
728383,91,757,146,143,480,360,438,8,11
729983,91,757,146,143,480,360,438,8,11
731584,91,757,147,144,480,360,438,8,11
733185,91,757,146,144,480,360,438,8,11
734811,91,757,146,144,480,360,438,8,11
736384,91,757,146,144,480,360,438,8,11
737983,91,757,146,144,480,360,439,8,11
739584,91,757,147,144,480,360,439,8,11
741183,91,757,146,143,480,360,438,8,11
742811,92,757,146,143,480,360,438,8,11
744385,92,757,146,143,480,360,438,8,11
745984,92,757,146,143,480,360,438,8,11
747584,92,757,147,144,480,360,438,8,11
749183,92,757,146,144,480,360,438,8,11
750811,92,757,146,144,480,360,438,8,11
752384,91,757,146,144,480,360,438,8,11
753986,91,757,146,144,480,360,438,8,11
755584,91,757,146,144,480,360,438,9,11
757184,91,757,146,143,480,360,438,9,11
758785,92,757,146,143,480,360,438,8,11
760384,92,757,146,143,480,360,438,8,11
761983,91,757,146,143,480,360,438,8,11
763585,91,757,147,144,480,360,438,8,11
765184,91,757,146,144,480,360,438,8,11
766785,91,757,146,144,480,360,439,8,11
768384,91,757,146,144,480,360,438,8,11
769984,91,757,146,144,480,360,438,8,11
771583,91,757,146,144,480,360,438,8,11
773186,91,757,146,144,480,360,438,8,11
774785,91,757,146,143,480,360,438,8,11
776384,91,757,146,143,480,360,438,8,11
777984,91,757,146,143,480,360,438,8,11
779583,91,757,147,144,480,360,438,8,11
781183,92,757,147,144,480,360,437,8,11
782784,92,757,146,144,480,360,438,8,11
784386,91,757,146,144,480,360,438,8,11
785983,91,757,146,144,480,360,438,8,11
787583,91,757,146,144,480,360,438,8,11
789184,91,757,146,144,480,361,438,8,11
790785,91,757,146,144,480,360,438,8,10
792384,91,757,146,143,480,360,438,8,10
793985,91,757,146,143,480,360,438,8,10
795584,91,757,146,144,480,360,438,8,10
797184,92,757,147,144,480,360,438,8,11
798785,92,757,146,144,480,360,438,8,11
800384,91,757,146,144,480,360,438,8,11
801983,91,757,146,144,480,360,438,8,11
803585,91,757,146,144,480,360,438,8,11
805183,91,757,146,144,480,360,438,8,11
806784,91,757,146,144,480,360,438,8,11
808383,91,757,146,143,480,360,438,8,11
809984,91,757,146,143,480,360,438,8,11
811583,91,757,146,143,480,360,438,8,11
813208,92,757,146,143,480,360,438,8,11
814784,92,757,146,143,480,360,438,8,11
816384,92,757,146,144,480,360,438,8,11
817984,92,757,146,144,480,361,438,8,11
819584,92,757,146,144,480,361,438,8,11
821206,92,757,146,144,480,361,437,8,11
822784,91,757,146,144,480,361,438,8,11
824385,91,757,146,143,480,360,438,8,11
825983,91,757,146,143,480,360,438,8,11
827584,91,756,146,143,480,360,438,8,11
829207,91,756,146,143,480,360,438,8,11
830784,91,756,146,144,480,360,438,8,10
832383,91,756,146,144,480,360,438,8,10
833986,92,757,146,144,480,360,438,8,10
835584,91,757,146,144,480,360,438,8,10
837207,91,757,146,144,480,360,438,8,11
838784,91,757,146,144,480,360,438,8,10
840383,91,757,147,144,480,360,438,8,10
