time,sen1,sen2,sen3,sen4,sen5,sen6,sen7,sen8,sen9
3061184,92,757,146,142,480,360,438,8,11
3069183,92,757,146,143,480,360,438,8,11
3077184,92,757,147,142,480,360,438,8,11
3085184,92,757,146,143,480,360,438,8,11
3093186,91,757,146,142,480,360,438,8,11
3101184,91,757,146,143,480,360,438,8,11
3109184,91,757,145,140,480,359,437,7,11
3117184,92,757,147,144,480,360,439,8,11
3125184,92,757,146,142,480,360,438,8,11
3133186,92,757,146,143,480,360,438,8,11
3141183,92,757,146,142,480,360,438,8,11
3149184,91,757,146,143,480,360,438,8,11
3157184,92,757,146,143,480,360,438,8,11
3165185,91,757,146,142,480,359,438,8,11
3173186,91,757,146,143,480,360,438,8,11
3181184,91,757,146,143,480,360,438,8,11
3189184,91,757,145,143,480,360,438,8,11
3197184,91,757,146,142,480,360,438,8,11
3205184,91,757,145,143,480,360,438,8,11
3213186,91,757,145,143,480,360,438,8,11
3221184,91,758,145,143,480,360,438,8,11
3229184,91,758,145,142,480,360,438,8,11
3237184,91,757,146,143,480,360,438,8,11
3245184,92,758,145,142,480,360,438,9,11
3253186,92,757,145,143,480,361,438,8,12
3261184,92,757,145,142,480,360,438,8,11
3269184,91,757,145,143,480,360,438,8,11
3277184,91,757,145,142,480,360,438,8,11
3286362,92,757,145,143,480,360,438,8,11
3293186,91,757,145,142,480,360,438,8,11
3301184,91,757,145,143,480,359,438,8,11
3309184,92,757,146,143,480,361,439,8,11
3317184,91,757,145,143,480,360,438,8,11
3325184,92,756,145,142,480,360,438,8,12
3333186,91,756,145,143,480,360,438,8,11
3341184,91,756,145,143,480,360,438,8,11
3349184,92,756,145,143,480,360,438,8,11
3357184,91,756,145,143,480,360,438,8,11
3365184,91,756,145,143,480,360,437,8,11
3373221,92,756,145,143,480,360,438,8,12
3381217,92,756,145,143,480,359,438,8,11
3389217,92,756,145,143,480,360,438,8,12
3397217,92,756,145,143,480,360,438,7,11
3405215,91,756,145,143,480,360,438,7,11
3413219,91,756,145,143,480,360,438,8,11
3421216,91,756,145,143,480,360,438,7,11
3429188,91,756,145,143,480,360,438,7,11
3437188,91,756,146,143,480,360,438,7,11
3445188,91,755,145,142,480,360,438,8,12
3453191,91,756,145,144,480,360,438,8,11
3461188,91,756,146,142,480,360,438,8,11
3469188,91,756,146,144,480,360,438,8,12
3477188,90,756,146,142,480,360,438,8,12
3485183,91,756,146,144,480,360,438,8,12
3493241,91,756,146,143,480,360,438,9,12
3501214,91,756,145,144,480,360,438,8,12
3509188,91,756,146,143,480,360,438,8,11
3517188,91,756,146,144,480,360,439,8,12
3525188,91,756,146,143,480,360,438,8,11
3533191,91,756,146,144,480,360,438,8,11
3541188,91,756,146,143,480,360,438,8,12
3549188,90,756,146,144,480,360,438,8,12
3557188,91,756,146,143,480,360,438,8,11
3565189,90,756,145,143,480,360,438,8,11
3573191,91,756,146,143,480,360,438,8,11
3581188,91,757,146,143,480,360,438,8,11
3589183,91,757,146,143,480,360,438,8,11
3597183,91,757,146,143,480,360,437,8,12
3605183,91,757,146,143,480,360,438,8,11
3613185,91,757,145,143,480,360,438,8,11
3621183,91,756,145,144,480,360,438,8,11
3629183,91,757,146,143,480,360,438,8,11
3637183,91,757,146,144,480,360,438,8,12
3645183,91,757,146,144,479,360,438,8,11
3653185,90,757,145,144,480,360,438,8,11
3661183,91,757,146,143,480,360,439,8,11
3669183,91,757,146,144,480,360,438,8,11
3677183,91,757,146,143,480,360,438,8,11
3685183,91,757,145,144,480,360,438,8,11
3693185,91,757,146,143,480,359,438,8,11
3701183,91,757,146,144,480,360,438,8,11
3709183,91,757,146,143,480,360,438,8,11
3717183,92,757,146,144,480,360,438,8,11
3725182,92,757,145,143,480,360,438,8,12
3733185,92,757,146,144,480,360,439,8,11
3741183,92,757,146,143,480,360,438,8,11
3749183,92,756,146,144,480,360,438,8,12
3757183,92,757,146,143,480,360,438,8,11
3765183,92,756,145,144,480,360,438,8,11
3773187,92,757,146,144,480,360,438,8,11
3781183,91,757,145,143,480,360,438,8,11
3789183,92,757,146,144,480,361,438,8,11
3797183,92,757,146,143,480,360,438,7,11
3805183,92,757,146,143,479,360,438,8,11
3813185,92,757,145,143,480,360,438,8,11
3821183,92,757,146,144,480,360,438,8,11
3829183,92,757,146,143,480,360,438,8,11
3837183,92,757,145,144,480,360,438,8,11
3845183,92,757,145,143,480,360,438,8,11
3853185,91,757,146,144,480,360,438,8,11
3861183,91,757,146,143,480,360,438,8,11
3869183,91,757,146,144,480,360,438,8,11
3877183,91,757,146,143,480,360,438,8,11
3885183,91,757,146,144,480,360,438,8,11
3893185,91,757,146,143,480,360,438,8,11
3901183,91,757,146,144,480,360,438,8,11
3909183,91,757,146,143,480,360,438,8,11
3917183,91,757,146,144,480,360,438,8,11
3925183,90,757,146,143,480,361,438,8,11
3933185,91,757,146,144,480,360,438,8,11
3941183,91,757,146,143,480,360,438,8,12
3949183,91,757,146,144,480,361,438,8,11
3957183,91,757,146,143,480,360,438,8,11
3965183,91,757,146,144,480,360,439,8,11
3973185,91,757,146,143,480,360,438,8,11
3981183,91,756,146,143,480,360,438,8,11
3989183,91,757,146,144,480,360,438,8,11
3997183,91,757,146,143,480,360,438,8,11
4005210,91,757,146,144,480,360,438,8,11
4013186,91,757,146,143,480,360,438,8,11
4021183,91,757,146,144,480,360,438,8,11
4029183,91,757,146,143,480,360,438,8,11
4037184,91,757,146,144,480,360,438,8,11
4045183,91,757,146,143,480,360,438,7,11
4053185,91,757,146,144,480,361,438,8,11
4061183,91,757,146,143,480,360,438,8,11
4069183,91,757,146,144,480,360,438,8,12
4077183,91,757,146,143,480,360,438,8,12
4085183,91,757,146,144,480,360,438,8,11
4093185,91,757,147,143,480,360,438,7,12
4101183,91,757,146,144,480,360,438,8,11
